,Video ID,Likes,Sentiment
162,PKATJiyz0iI,36,0
163,PKATJiyz0iI,3,1
164,PKATJiyz0iI,2,1
165,PKATJiyz0iI,2,2
166,PKATJiyz0iI,6,1
167,PKATJiyz0iI,1,2
168,PKATJiyz0iI,2,2
169,PKATJiyz0iI,1,0
170,qiMnSaZWf3M,296,0
171,qiMnSaZWf3M,0,2
172,qiMnSaZWf3M,1,2
173,qiMnSaZWf3M,13,2
174,qiMnSaZWf3M,14,0
175,qiMnSaZWf3M,0,2
176,qiMnSaZWf3M,16,0
177,qiMnSaZWf3M,22,1
178,qiMnSaZWf3M,1,2
179,qiMnSaZWf3M,13,1
180,4AnyhHl3_tE,15300,0
181,4AnyhHl3_tE,256,2
182,4AnyhHl3_tE,72,1
183,4AnyhHl3_tE,62,2
184,4AnyhHl3_tE,166,2
185,4AnyhHl3_tE,4789,2
186,4AnyhHl3_tE,21,2
187,4AnyhHl3_tE,29,2
188,4AnyhHl3_tE,24,0
189,4AnyhHl3_tE,115,0
190,nmY2kgWYwyQ,3183,0
191,nmY2kgWYwyQ,2902,2
192,nmY2kgWYwyQ,90,1
193,nmY2kgWYwyQ,20,2
194,nmY2kgWYwyQ,0,2
195,nmY2kgWYwyQ,6,2
196,nmY2kgWYwyQ,8460,2
197,nmY2kgWYwyQ,5,2
198,nmY2kgWYwyQ,19,2
199,nmY2kgWYwyQ,6,2
200,HMqyLcNmsec,12,2
201,HMqyLcNmsec,13,2
202,HMqyLcNmsec,5,2
203,HMqyLcNmsec,9,1
204,HMqyLcNmsec,30,2
205,HMqyLcNmsec,40,2
206,HMqyLcNmsec,72,2
207,HMqyLcNmsec,6,2
208,HMqyLcNmsec,3,1
209,HMqyLcNmsec,4,2
210,Q2ysbTVlPdk,10710,2
211,Q2ysbTVlPdk,6964,1
212,Q2ysbTVlPdk,4364,2
213,Q2ysbTVlPdk,5322,2
214,Q2ysbTVlPdk,2712,2
215,Q2ysbTVlPdk,1771,2
216,Q2ysbTVlPdk,2560,2
217,Q2ysbTVlPdk,960,2
218,Q2ysbTVlPdk,569,2
219,Q2ysbTVlPdk,335,2
220,zI8KQq5zmyM,322,0
221,zI8KQq5zmyM,338,2
222,zI8KQq5zmyM,147,1
223,zI8KQq5zmyM,18,2
224,zI8KQq5zmyM,7,2
225,zI8KQq5zmyM,4,2
226,zI8KQq5zmyM,2,2
227,zI8KQq5zmyM,2,2
228,zI8KQq5zmyM,0,2
229,zI8KQq5zmyM,1,2
230,iEAlq1GPgnc,4813,0
231,iEAlq1GPgnc,1014,2
232,iEAlq1GPgnc,1666,1
233,iEAlq1GPgnc,1631,2
234,iEAlq1GPgnc,16674,2
